Ticker Symbol,Company Name,Last Price,7D Return,1Y Return,Market Cap,Analysts Target,Valuation,Growth,Div Yield,Industry
LGIL.N0000,LOLC General Insurance,LK₨6.00,0.017,-16.70%,LK₨7.2b,n/a,PE7.6x,n/a,n/a,Insurance
CFLB.N0000,Colombo Fort Land & Building,LK₨29.90,-0.003,-2.00%,LK₨7.2b,n/a,PB1.5x,n/a,0.80%,Capital Goods
UML.N0000,United Motors Lanka,LK₨71.00,0.004,20.10%,LK₨7.2b,n/a,PB0.5x,n/a,2.10%,Retail
ALUM.N0000,Alumex,LK₨11.80,0.044,24.20%,LK₨7.1b,LK₨13.80,PE38x,S12.3%,0%,Materials
SHAL.N0000,Shalimar (Malay),"LK₨1,284.00",0,34.20%,LK₨6.9b,n/a,PS3730.3x,n/a,0%,Diversified Financials
KCAB.N0000,Kelani Cables,LK₨300.00,0.014,-7.00%,LK₨6.5b,n/a,PE4x,n/a,2.20%,Capital Goods
SCAP.N0000,Softlogic Capital,LK₨6.50,-0.03,-42.00%,LK₨6.4b,n/a,PB4.3x,n/a,0%,Insurance
AMSL.N0000,Asiri Surgical Hospital,LK₨12.00,-0.008,-6.30%,LK₨6.3b,n/a,PE10.7x,n/a,0%,Healthcare
TPL.N0000,Talawakelle Tea Estates,LK₨132.25,-0.008,4.80%,LK₨6.3b,n/a,PE3.8x,n/a,23.70%,"Food, Beverage & Tobacco"
VPEL.N0000,Vallibel Power Erathna,LK₨8.30,-0.012,20.30%,LK₨6.2b,n/a,PE9.2x,n/a,42.20%,Utilities
EBCR.N0000,E.B. Creasy,LK₨24.00,0,-2.00%,LK₨6.1b,n/a,PE23x,n/a,6.30%,Capital Goods
RIL.N0000,R I L Property,LK₨7.60,-0.013,11.80%,LK₨6.1b,n/a,PE7.3x,n/a,2.60%,Retail
TYRE.N0000,Kelani Tyres,LK₨75.10,-0.04,10.10%,LK₨6.0b,n/a,PE6.4x,n/a,6.70%,Automobiles
INDO.N0000,Indo-Malay,"LK₨1,316.00",0,-0.80%,LK₨6.3b,n/a,PE1588.9x,n/a,0%,Diversified Financials
KHC.N0000,Kandy Hotels (1938),LK₨7.80,-0.037,-14.30%,LK₨5.9b,n/a,PS4.8x,n/a,0%,Consumer Services
SIRA.N0000,Sierra Cables,LK₨10.80,0,-12.20%,LK₨5.8b,n/a,PE7.6x,n/a,0%,Capital Goods
CRL.N0000,Softlogic Finance,LK₨5.90,0.035,-26.30%,LK₨5.7b,n/a,PB2x,n/a,0%,Diversified Financials
HPL.N0000,Hatton Plantations,LK₨23.70,-0.004,-16.00%,LK₨5.6b,n/a,PE5.6x,n/a,16.90%,"Food, Beverage & Tobacco"
SHOT.N0000,Serendib Hotels,LK₨13.90,-0.041,19.80%,LK₨5.5b,LK₨20.00,PE14.6x,S17.2%,0%,Consumer Services
BPPL.N0000,BPPL Holdings,LK₨18.00,-0.027,-18.20%,LK₨5.5b,n/a,PB1.4x,n/a,2.00%,Household
NHL.N0000,Nawaloka Hospitals,LK₨3.90,0,n/a,LK₨5.5b,n/a,PE15.8x,n/a,0%,Healthcare
DIMO.N0000,Diesel & Motor Engineering,LK₨595.00,-0.057,13.30%,LK₨5.5b,n/a,PE127.9x,n/a,0.80%,Retail
AGAL.N0000,Agalawatte Plantations,LK₨33.60,0.009,-0.106,LK₨5.3b,n/a,PE5.3x,n/a,0%,"Food, Beverage & Tobacco"
GREG.N0000,Ambeon Holdings,LK₨37.20,-0.041,0.008,LK₨5.2b,n/a,PE2x,n/a,9.10%,Consumer Durables
KVAL.N0000,Kelani Valley Plantations,LK₨73.30,-0.011,-0.153,LK₨5.0b,n/a,PE4.2x,n/a,13.60%,"Food, Beverage & Tobacco"
CINV.N0000,Ceylon Investment,LK₨49.90,0.029,-0.091,LK₨5.0b,n/a,PE3.1x,n/a,0%,Diversified Financials
SDB.N0000,SANASA Development Bank,LK₨30.20,-0.01,-0.152,LK₨5.0b,n/a,PB0.3x,n/a,0%,Banks
SERV.N0000,Kingsbury,LK₨10.10,0,-0.029,LK₨4.9b,n/a,PE18.5x,n/a,0%,Consumer Services
JETS.N0000,Jetwing Symphony,LK₨8.00,0.013,-0.101,LK₨4.8b,n/a,PE48x,n/a,n/a,Consumer Services
SEMB.N0000,SMB Finance,LK₨0.60,0,-0.333,LK₨4.8b,n/a,PE51.5x,n/a,0%,Diversified Financials
